[001]Pressure   [002]radm   [003]AVmax   [004]I(C+, 158 um)   [005]I(O, 145 um)
1.0000e+05   1.0000e+00   1.0000e+00   5.2102e-06   6.9951e-09
1.0000e+05   1.0000e+01   1.0000e+00   3.4117e-05   3.2909e-07
1.0000e+05   1.0000e+02   1.0000e+00   6.4383e-05   3.1073e-06
1.0000e+05   1.0000e+03   1.0000e+00   6.4292e-05   5.3944e-06
1.0000e+05   1.0000e+04   1.0000e+00   6.9402e-05   4.3426e-06
1.0000e+05   1.0000e+05   1.0000e+00   8.1892e-05   1.1622e-05
1.0000e+05   3.5000e+00   1.0000e+00   1.5430e-05   4.3092e-08
1.0000e+05   3.5000e+01   1.0000e+00   5.6434e-05   1.5405e-06
1.0000e+05   3.5000e+02   1.0000e+00   6.3765e-05   4.7162e-06
1.0000e+05   3.5000e+03   1.0000e+00   6.7255e-05   5.3529e-06
1.0000e+05   3.5000e+04   1.0000e+00   7.4893e-05   3.6066e-06
1.0000e+06   1.0000e+00   1.0000e+00   1.3133e-06   3.5871e-08
1.0000e+06   1.0000e+01   1.0000e+00   2.1007e-05   8.5159e-07
1.0000e+06   1.0000e+02   1.0000e+00   1.3307e-04   1.3280e-05
1.0000e+06   1.0000e+03   1.0000e+00   2.1117e-04   4.2293e-05
1.0000e+06   1.0000e+04   1.0000e+00   2.2704e-04   5.5218e-05
1.0000e+06   1.0000e+05   1.0000e+00   2.3850e-04   4.6427e-05
1.0000e+06   3.5000e+00   1.0000e+00   5.6129e-06   1.9073e-07
1.0000e+06   3.5000e+01   1.0000e+00   7.1186e-05   4.5550e-06
1.0000e+06   3.5000e+02   1.0000e+00   1.9325e-04   2.9094e-05
1.0000e+06   3.5000e+03   1.0000e+00   2.1897e-04   5.1671e-05
1.0000e+06   3.5000e+04   1.0000e+00   2.3513e-04   5.3738e-05
1.0000e+07   1.0000e+00   1.0000e+00   2.1091e-08   1.5860e-09
1.0000e+07   1.0000e+01   1.0000e+00   1.3642e-06   3.6534e-07
1.0000e+07   1.0000e+02   1.0000e+00   4.3679e-05   1.5679e-05
1.0000e+07   1.0000e+03   1.0000e+00   2.2336e-04   1.4996e-04
1.0000e+07   1.0000e+04   1.0000e+00   3.2127e-04   3.0682e-04
1.0000e+07   1.0000e+05   1.0000e+00   3.3089e-04   3.2369e-04
1.0000e+07   3.5000e+00   1.0000e+00   2.0101e-07   3.8034e-08
1.0000e+07   3.5000e+01   1.0000e+00   1.0784e-05   3.2949e-06
1.0000e+07   3.5000e+02   1.0000e+00   1.2986e-04   6.8872e-05
1.0000e+07   3.5000e+03   1.0000e+00   3.0243e-04   2.5259e-04
1.0000e+07   3.5000e+04   1.0000e+00   3.2856e-04   3.2713e-04
1.0000e+08   1.0000e+00   1.0000e+00   7.6166e-11   1.3649e-10
1.0000e+08   1.0000e+01   1.0000e+00   2.2413e-08   1.2454e-08
1.0000e+08   1.0000e+02   1.0000e+00   3.2528e-06   4.1713e-06
1.0000e+08   1.0000e+03   1.0000e+00   8.0691e-05   1.3888e-04
1.0000e+08   1.0000e+04   1.0000e+00   2.7824e-04   5.6882e-04
1.0000e+08   1.0000e+05   1.0000e+00   3.5375e-04   7.8265e-04
1.0000e+08   3.5000e+00   1.0000e+00   8.6549e-10   8.2961e-10
1.0000e+08   3.5000e+01   1.0000e+00   4.3726e-07   4.6693e-07
1.0000e+08   3.5000e+02   1.0000e+00   2.4369e-05   3.5966e-05
1.0000e+08   3.5000e+03   1.0000e+00   1.8375e-04   3.5805e-04
1.0000e+08   3.5000e+04   1.0000e+00   3.3225e-04   7.3389e-04
1.0000e+09   1.0000e+00   1.0000e+00   3.0348e-12   4.2916e-11
1.0000e+09   1.0000e+01   1.0000e+00   1.6831e-10   7.5601e-10
1.0000e+09   1.0000e+02   1.0000e+00   7.8806e-08   2.3006e-07
1.0000e+09   1.0000e+03   1.0000e+00   8.7781e-06   5.8225e-05
1.0000e+09   1.0000e+04   1.0000e+00   8.1465e-05   4.3570e-04
1.0000e+09   1.0000e+05   1.0000e+00   2.6416e-04   9.2355e-04
1.0000e+09   3.5000e+00   1.0000e+00   1.7796e-11   1.6536e-10
1.0000e+09   3.5000e+01   1.0000e+00   4.3963e-09   6.9199e-09
1.0000e+09   3.5000e+02   1.0000e+00   1.4157e-06   8.0610e-06
1.0000e+09   3.5000e+03   1.0000e+00   3.4013e-05   2.2089e-04
1.0000e+09   3.5000e+04   1.0000e+00   1.7618e-04   7.3614e-04
3.5000e+05   1.0000e+00   1.0000e+00   3.3052e-06   2.2271e-08
3.5000e+05   1.0000e+01   1.0000e+00   3.3525e-05   5.0064e-07
3.5000e+05   1.0000e+02   1.0000e+00   1.1905e-04   7.0460e-06
3.5000e+05   1.0000e+03   1.0000e+00   1.4144e-04   1.7457e-05
3.5000e+05   1.0000e+04   1.0000e+00   1.5563e-04   2.0046e-05
3.5000e+05   1.0000e+05   1.0000e+00   1.6697e-04   1.8291e-05
3.5000e+05   3.5000e+00   1.0000e+00   1.1314e-05   1.0169e-07
3.5000e+05   3.5000e+01   1.0000e+00   8.1170e-05   2.7773e-06
3.5000e+05   3.5000e+02   1.0000e+00   1.3824e-04   1.3390e-05
3.5000e+05   3.5000e+03   1.0000e+00   1.4845e-04   1.9786e-05
3.5000e+05   3.5000e+04   1.0000e+00   1.6069e-04   1.7969e-05
3.5000e+06   1.0000e+00   1.0000e+00   1.8998e-07   1.3550e-08
3.5000e+06   1.0000e+01   1.0000e+00   6.0727e-06   7.9736e-07
3.5000e+06   1.0000e+02   1.0000e+00   9.1195e-05   1.9308e-05
3.5000e+06   1.0000e+03   1.0000e+00   2.5555e-04   9.9013e-05
3.5000e+06   1.0000e+04   1.0000e+00   2.9122e-04   1.5565e-04
3.5000e+06   1.0000e+05   1.0000e+00   3.0111e-04   1.5180e-04
3.5000e+06   3.5000e+00   1.0000e+00   1.1537e-06   1.2995e-07
3.5000e+06   3.5000e+01   1.0000e+00   3.3692e-05   5.2550e-06
3.5000e+06   3.5000e+02   1.0000e+00   1.8779e-04   5.7808e-05
3.5000e+06   3.5000e+03   1.0000e+00   2.8372e-04   1.3925e-04
3.5000e+06   3.5000e+04   1.0000e+00   2.9820e-04   1.6126e-04
3.5000e+07   1.0000e+00   1.0000e+00   7.0110e-10   2.4523e-10
3.5000e+07   1.0000e+01   1.0000e+00   1.8386e-07   8.3942e-08
3.5000e+07   1.0000e+02   1.0000e+00   1.1692e-05   7.9169e-06
3.5000e+07   1.0000e+03   1.0000e+00   1.4282e-04   1.6040e-04
3.5000e+07   1.0000e+04   1.0000e+00   3.2442e-04   4.9555e-04
3.5000e+07   1.0000e+05   1.0000e+00   3.5088e-04   5.8870e-04
3.5000e+07   3.5000e+00   1.0000e+00   1.5253e-08   3.7789e-09
3.5000e+07   3.5000e+01   1.0000e+00   2.0067e-06   1.2745e-06
3.5000e+07   3.5000e+02   1.0000e+00   6.0383e-05   5.2311e-05
3.5000e+07   3.5000e+03   1.0000e+00   2.6058e-04   3.4974e-04
3.5000e+07   3.5000e+04   1.0000e+00   3.4348e-04   5.7373e-04
3.5000e+08   1.0000e+00   1.0000e+00   1.1584e-11   7.0160e-11
3.5000e+08   1.0000e+01   1.0000e+00   9.3245e-10   1.5785e-09
3.5000e+08   1.0000e+02   1.0000e+00   5.5855e-07   1.3615e-06
3.5000e+08   1.0000e+03   1.0000e+00   2.8625e-05   1.0117e-04
3.5000e+08   1.0000e+04   1.0000e+00   1.5804e-04   5.3624e-04
